id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kota_kabupaten;jumlah_penduduk;satuan;tahun
230;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;953.04.00;RIBU ORANG;2018
231;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2336.00.00;RIBU ORANG;2018
232;32;JAWA BARAT;3216;KABUPATEN BEKASI;3630.09.00;RIBU ORANG;2018
233;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1683.07.00;RIBU ORANG;2018
234;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;397.02.00;RIBU ORANG;2018
235;32;JAWA BARAT;3271;KOTA BOGOR;1096.08.00;RIBU ORANG;2018
236;32;JAWA BARAT;3272;KOTA SUKABUMI;326.03.00;RIBU ORANG;2018
237;32;JAWA BARAT;3273;KOTA BANDUNG;2503.07.00;RIBU ORANG;2018
238;32;JAWA BARAT;3274;KOTA CIREBON;316.03.00;RIBU ORANG;2018
239;32;JAWA BARAT;3275;KOTA BEKASI;2931.09.00;RIBU ORANG;2018
240;32;JAWA BARAT;3276;KOTA DEPOK;2330.03.00;RIBU ORANG;2018
241;32;JAWA BARAT;3277;KOTA CIMAHI;607.08.00;RIBU ORANG;2018
242;32;JAWA BARAT;3278;KOTA TASIKMALAYA;662.07.00;RIBU ORANG;2018
243;32;JAWA BARAT;3279;KOTA BANJAR;182.08.00;RIBU ORANG;2018
244;32;JAWA BARAT;3201;KABUPATEN BOGOR;5965.04.00;RIBU ORANG;2019
245;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2466.03.00;RIBU ORANG;2019
246;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2263.01.00;RIBU ORANG;2019
247;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3775.03.00;RIBU ORANG;2019
248;32;JAWA BARAT;3205;KABUPATEN GARUT;2622.04.00;RIBU ORANG;2019
249;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1754.01.00;RIBU ORANG;2019
250;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1195.02.00;RIBU ORANG;2019
251;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1080.08.00;RIBU ORANG;2019
252;32;JAWA BARAT;3209;KABUPATEN CIREBON;2192.09.00;RIBU ORANG;2019
253;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1205.00.00;RIBU ORANG;2019
254;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1152.04.00;RIBU ORANG;2019
255;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1728.05.00;RIBU ORANG;2019
256;32;JAWA BARAT;3213;KABUPATEN SUBANG;1595.08.00;RIBU ORANG;2019
257;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;962.09.00;RIBU ORANG;2019
258;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2353.09.00;RIBU ORANG;2019
259;32;JAWA BARAT;3216;KABUPATEN BEKASI;3763.09.00;RIBU ORANG;2019
260;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1699.09.00;RIBU ORANG;2019
